ID Cliente;Zona;País;Tipo de producto;Canal de venta;Prioridad;Fecha pedido;ID Pedido;Fecha envío;Unidades; Precio Unitario ; Coste unitario ; Importe venta total ; Importe Coste total 
C2421;Europa;United Kingdom;Snacks;Offline;Crítica;12/10/2020;242113196;30/11/2020;5530; 152,58 € ; 97,44 € ; 843.767,40 € ; 538.843,20 € 
C1908;Europa;Malta;Cárnicos;Online;Alta;26/01/2020;190800607;28/01/2020;994; 421,89 € ; 364,69 € ; 419.358,66 € ; 362.501,86 € 
C7652;Australia y Oceanía;Marshall Islands;Cereales;Online;Crítica;9/11/2020;765228068;21/11/2020;6845; 205,70 € ; 117,11 € ; 1.408.016,50 € ; 801.617,95 € 
C2326;África;Iran;Frutas;Offline;Baja;21/08/2021;232631909;2/10/2021;9806; 9,33 € ; 6,92 € ; 91.489,98 € ; 67.857,52 € 
C5305;Centroamérica y Caribe;Guatemala;Alimento infantil;Offline;Media;30/09/2022;530560958;12/11/2022;3633; 255,28 € ; 159,42 € ; 927.432,24 € ; 579.172,86 € 
C5168;Centroamérica y Caribe;Grenada;Bebida;Offline;Baja;21/01/2022;516876542;21/02/2022;4110; 47,45 € ; 31,79 € ; 195.019,50 € ; 130.656,90 € 
C9197;Australia y Oceanía;Fiji;Snacks;Offline;Media;17/02/2022;919752490;27/02/2022;4056; 152,58 € ; 97,44 € ; 618.864,48 € ; 395.216,64 € 
C2876;África;Tunisia ;Cosméticos;Offline;Media;21/03/2020;287675130;7/05/2020;8319; 437,20 € ; 263,33 € ; 3.637.066,80 € ; 2.190.642,27 € 
C8394;Centroamérica y Caribe;Grenada;Cuidado personal;Offline;Crítica;13/02/2021;839443290;1/04/2021;8779; 81,73 € ; 56,67 € ; 717.507,67 € ; 497.505,93 € 
C8141;Australia y Oceanía;Australia;Material de oficina;Online;Media;15/06/2021;814168298;12/07/2021;9347; 651,21 € ; 524,96 € ; 6.086.859,87 € ; 4.906.801,12 € 
C3212;Norteamérica;Greenland;Cosméticos;Online;Alta;15/07/2022;321273982;30/08/2022;966; 437,20 € ; 263,33 € ; 422.335,20 € ; 254.376,78 € 
C8904;África;Angola;Snacks;Online;Crítica;13/05/2020;890496671;5/06/2020;6609; 152,58 € ; 97,44 € ; 1.008.401,22 € ; 643.980,96 € 
C5218;África;Zambia;Bebida;Offline;Crítica;6/05/2021;521885192;22/05/2021;6281; 47,45 € ; 31,79 € ; 298.033,45 € ; 199.672,99 € 
C4358;África;Kenya;Verduras;Offline;Alta;7/11/2020;435800874;25/12/2020;2018; 154,06 € ; 90,93 € ; 310.893,08 € ; 183.496,74 € 
C1229;África;Azerbaijan;Frutas;Offline;Crítica;20/10/2021;122917544;17/11/2021;2888; 9,33 € ; 6,92 € ; 26.945,04 € ; 19.984,96 € 
C4942;África;Mozambique;Cuidado personal;Offline;Crítica;21/10/2021;494221532;18/11/2021;9989; 81,73 € ; 56,67 € ; 816.400,97 € ; 566.076,63 € 
C7310;Australia y Oceanía;Federated States of Micronesia;Cosméticos;Offline;Crítica;19/04/2020;731011664;30/04/2020;1451; 437,20 € ; 263,33 € ; 634.377,20 € ; 382.091,83 € 
C5348;Centroamérica y Caribe;Dominican Republic;Snacks;Offline;Crítica;3/11/2022;534899270;4/11/2022;7436; 152,58 € ; 97,44 € ; 1.134.584,88 € ; 724.563,84 € 
C5778;África;Libya;Material de oficina;Online;Alta;10/07/2022;577808177;22/07/2022;5135; 651,21 € ; 524,96 € ; 3.343.963,35 € ; 2.695.669,60 € 
C2519;Asia;Uzbekistan;Material de oficina;Online;Baja;1/06/2021;251974713;21/06/2021;3772; 651,21 € ; 524,96 € ; 2.456.364,12 € ; 1.980.149,12 € 
C8199;Asia;Sri Lanka;Cuidado personal;Offline;Media;28/07/2020;819947707;5/09/2020;9602; 81,73 € ; 56,67 € ; 784.771,46 € ; 544.145,34 € 
